-246758121,2-7-2019,11:9,Rimme :),1950,3,5,5
-673074464,24-6-2019,15:24,José,1225,3,5,5
-1105967610,1-7-2019,10:29,WOW,1125,3,5,5
1596310810,25-6-2019,17:24,Micheal,1025,3,5,5
-1273878445,20-6-2019,13:1,,625,3,5,5
651085156,24-6-2019,13:49,HI,275,3,5,5
413359426,19-6-2019,11:20,Rimme :),250,3,5,5
-238365417,14-6-2019,15:51,Rimme :),200,3,5,5
362637931,21-6-2019,17:10,Rimme :),200,3,5,5
-238365417,14-6-2019,15:52,Rimme :),200,3,5,5
-1955238461,19-6-2019,13:52,MMMM,150,3,5,5
-457287355,19-6-2019,11:0,Rimme :),150,3,5,5
-143163684,18-6-2019,13:45,Rimme :),150,3,5,5
1624531916,19-6-2019,9:4,Rimme :),150,3,5,5
-1860314751,19-6-2019,9:7,Rimme :),150,3,5,5
652001799,19-6-2019,13:44,Rimme :),150,3,5,5
1339698884,19-6-2019,11:19,Rimme :),150,3,5,5
1567917375,19-6-2019,9:1,Rimme :),150,3,5,5
-1182983958,19-6-2019,11:8,Rimme :),150,3,5,5
-1327972917,19-6-2019,10:34,Rimme :),150,3,5,5
-1499835450,19-6-2019,10:58,Rimme :),150,3,5,5
716768109,19-6-2019,13:47,Rimme :),50,3,5,5
1646833384,19-6-2019,13:49,Rimme :),50,3,5,5
-1521621038,19-6-2019,13:51,Rimme :),50,3,5,5
